#YYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
4/15/2013,21:18.1,le,3.11,l,35.491,-118.394,9.4,A,11285426,115,2393
4/17/2013,57:58.1,le,4.08,w,32.24,-115.27,10,C,11286130,49,2511
4/20/2013,55:15.1,le,3.11,l,32.305,-115.226,11.7,C,15330097,19,2122
4/20/2013,55:31.0,le,3.5,l,32.295,-115.205,7.2,B,37111996,18,2161
4/23/2013,58:11.8,le,3.19,l,32.338,-115.332,9.1,A,15331489,19,2116
4/25/2013,59:44.0,le,3.08,l,33.646,-116.74,16.9,A,15332633,153,2404
4/27/2013,52:18.1,le,3.14,l,33.958,-118.418,11.9,A,15333497,154,2428
4/29/2013,32:09.3,le,3.03,l,33.155,-115.642,1.5,A,15334809,64,2161
4/30/2013,10:20.4,le,3.27,l,32.194,-115.184,21.8,C,15335545,27,2090
5/1/2013,56:02.0,le,3.17,l,36.174,-117.854,0.9,A,15335745,73,2296
5/3/2013,57:53.2,le,3.23,l,33.981,-118.782,13,A,15336729,134,2449
5/3/2013,42:23.9,le,3.37,l,32.103,-115.092,10,C,15336761,39,2108
5/6/2013,40:07.9,le,3.07,l,32.177,-115.197,15.7,C,15338553,29,1954
5/7/2013,06:09.1,le,3.63,l,34.479,-119.311,13.4,A,15338761,172,2514
5/15/2013,20:05.1,le,3.12,l,33.98,-116.767,17.9,A,15343017,185,2471
5/15/2013,00:06.2,le,4.08,w,33.658,-118.372,1.2,A,15343145,78,2408
5/16/2013,24:27.2,le,3.03,l,32.249,-115.243,17.8,A,15343449,36,370
5/16/2013,04:58.0,le,3.18,l,34.858,-119.239,12.7,A,15343601,90,2442
5/17/2013,07:52.3,le,3.54,l,33.203,-115.55,1.9,A,15344465,57,2368
5/17/2013,38:13.7,le,3.07,l,33.212,-115.552,1.8,A,15344585,26,2220
5/17/2013,39:50.8,le,3,l,31.821,-115.013,10,C,15344689,14,117
5/18/2013,41:02.3,le,3.24,l,33.583,-118.379,0.3,A,15345393,161,2476
5/20/2013,38:34.2,le,3.02,l,31.864,-114.939,2,C,15346201,29,116
5/21/2013,32:32.1,le,3.59,l,31.588,-116.128,15.2,C,15346793,55,2241
5/23/2013,54:04.7,le,3.02,l,32.282,-115.323,1,B,15347865,30,353
5/23/2013,23:15.0,le,3.2,l,32.259,-115.307,10,C,15347969,32,2104
5/26/2013,58:30.9,le,3.29,l,35.158,-116.838,1.8,A,15349113,75,2435
5/29/2013,38:03.3,le,4.8,w,34.413,-119.926,8,A,15350729,39,2500
5/30/2013,19:02.1,le,3.11,l,34.42,-119.934,10.6,A,15351401,75,2285
5/31/2013,24:52.3,le,3.09,l,33.686,-119.13,10.7,C,15352009,122,2398
6/1/2013,06:01.3,le,3.17,l,36.213,-117.911,0.8,A,15352569,66,2280
6/3/2013,43:34.6,le,3.05,l,33.233,-115.625,1.9,A,15353321,54,1022
6/3/2013,04:10.2,le,3.92,l,33.232,-115.625,2.4,A,15353521,70,2414
6/4/2013,46:40.7,le,3.58,l,33.209,-115.555,1.8,A,15354321,49,2361
6/4/2013,24:28.7,le,3.05,l,33.207,-115.553,2.5,A,15354537,56,2197
6/7/2013,48:46.2,le,3.58,l,32.228,-115.321,3.3,C,15356121,55,2231
6/10/2013,50:12.7,le,3.17,l,32.218,-115.293,12.9,B,15357721,41,2072
6/15/2013,22:24.5,le,3.07,l,32.173,-115.185,14.7,B,11319146,23,357
6/19/2013,11:50.8,le,3.09,l,34.009,-117.172,4.4,A,11321730,236,2428
6/24/2013,17:49.9,le,3,l,32.139,-115.207,0.1,D,11325058,32,374
6/24/2013,09:33.2,le,3.03,l,33.739,-115.945,0,A,11325466,122,2182
6/26/2013,48:14.2,le,3.19,l,32.248,-115.303,14.9,B,11326354,49,2055
6/28/2013,45:48.0,le,3.41,l,33.624,-116.696,15.6,A,11327386,158,2250
6/29/2013,25:06.9,le,3.29,l,33.249,-116.005,1.8,A,11328074,183,2217
7/12/2013,06:16.9,le,3.22,l,31.835,-114.906,21.3,A,11333418,20,1832
7/12/2013,33:11.3,le,3.2,l,32.124,-115.258,18.1,B,11333434,33,1980
7/18/2013,49:40.9,le,3.23,l,31.932,-115.006,10,C,11336338,17,1957
7/22/2013,59:48.0,le,3.19,l,33.942,-116.736,18.3,A,11337786,197,2332
7/24/2013,46:02.6,le,4.29,l,35.486,-118.287,6.6,A,11339042,124,2459
7/26/2013,00:47.3,le,3.05,l,32.972,-115.88,8.5,A,11339938,74,2168
7/27/2013,41:55.5,le,3.08,l,32.091,-115.022,10,C,11340186,20,193
7/28/2013,31:43.8,le,3.18,l,35.482,-118.288,3.5,A,11340658,79,2364
8/4/2013,30:55.1,le,3.91,l,36.14,-118.066,0,A,11344050,67,2466
8/10/2013,09:18.3,le,3.92,l,32.877,-116.255,5.4,A,11347826,214,2467
8/10/2013,10:09.0,le,3.76,l,32.88,-116.256,9.1,A,11347834,104,2462
8/10/2013,33:00.1,le,3.26,l,32.88,-116.254,5.6,A,11347906,89,2317
8/12/2013,32:35.0,le,3.75,l,36.022,-117.776,1.4,A,11348882,88,2407
8/16/2013,53:36.6,le,3.21,l,33.185,-115.973,2.5,A,11351394,111,2262
8/16/2013,40:25.9,le,3.32,l,35.482,-118.287,5.1,B,11351498,96,2390
8/16/2013,45:13.4,le,3.06,l,32.146,-115.242,13.7,B,11351586,14,291
8/20/2013,11:54.5,le,3.09,l,35.482,-118.287,2.5,A,15394377,83,2259
8/22/2013,29:23.3,le,3.59,l,33.432,-117.089,7.5,A,15395521,146,2244
8/23/2013,08:25.0,le,3.26,l,31.669,-116.063,1.1,B,15395737,21,1364
8/24/2013,16:31.0,le,4.06,w,34.567,-120.957,3.2,C,15396097,44,2328
8/24/2013,25:52.3,le,3.01,l,34.011,-116.627,10.2,A,15396409,191,2185
8/25/2013,50:28.7,le,4.2,w,35.48,-118.285,2.3,A,15396881,120,2312
8/25/2013,59:18.9,le,3.6,l,35.479,-118.288,3.5,A,15396897,104,2270
8/27/2013,56:58.4,le,3.34,l,32.255,-115.304,13.6,B,15397857,37,2035
9/3/2013,26:28.7,le,3.06,l,31.732,-115.043,10,C,15400937,27,1722
9/4/2013,04:54.0,le,3.22,l,33.292,-116.422,14.5,A,11359338,208,2352
9/5/2013,06:05.4,le,3.13,l,31.741,-114.992,4.5,C,11360114,30,1771
9/10/2013,49:58.8,le,3.16,l,35.764,-117.604,10.4,A,11362618,75,2420
9/14/2013,25:36.4,le,4.08,w,32.411,-115.215,10,C,11364370,65,2336
9/18/2013,53:36.1,le,3.22,l,32.879,-116.253,4.7,A,11366154,106,2295
9/19/2013,43:55.9,le,3.68,l,34.082,-117.785,2.9,A,11366538,226,2479
9/19/2013,06:33.5,le,3.75,l,34.082,-117.784,3.6,A,11366562,230,2503
9/20/2013,10:43.4,le,3.8,l,33.341,-116.391,13.7,A,11366994,162,2457
9/20/2013,05:46.3,le,3.19,l,32.255,-115.254,15.9,C,11367474,33,2030
9/22/2013,10:10.5,le,3.43,l,33.461,-116.603,13.5,A,11368274,232,2427
9/24/2013,09:55.2,le,3.12,l,32.128,-115.131,10,C,11369546,34,1995
9/29/2013,36:16.5,le,3.29,l,32.897,-116.275,1.8,A,11371058,152,2310
9/29/2013,41:31.7,le,3.58,l,32.899,-116.281,2.7,A,11371154,197,2331
9/30/2013,23:28.5,le,3.71,l,32.874,-115.995,9.4,A,11371586,142,2368
10/2/2013,28:08.0,le,3,l,32.147,-117.607,12,C,11372194,43,2142
10/2/2013,12:43.4,le,3.23,l,32.143,-117.602,20.8,C,11372242,28,2195
10/4/2013,55:23.7,le,3,l,33.8,-117.684,6.7,A,11372874,164,2236
10/6/2013,06:21.9,le,4.28,l,34.709,-116.294,1.9,A,11373458,116,2330
10/6/2013,41:51.4,le,3.64,l,34.711,-116.295,2.4,A,11373818,122,2251
10/9/2013,18:03.1,le,3.03,l,32.324,-115.3,11.8,C,11375090,46,1943
10/10/2013,34:23.2,le,3.4,l,35.659,-118.472,10.6,A,11375690,99,2281
10/14/2013,38:23.9,le,3.61,l,33.202,-115.676,1.5,A,11377978,37,2231
10/14/2013,39:20.0,le,3,l,33.204,-115.677,0.9,A,11377986,39,2243
10/15/2013,07:06.3,le,3.17,l,36.152,-118.068,3.6,A,11378394,76,2275
10/20/2013,00:09.0,le,3.65,l,32.386,-115.163,17.7,B,11381170,37,2172
10/23/2013,17:09.8,le,3.09,l,32.198,-115.249,15,C,11382378,33,1989
10/28/2013,15:09.9,le,3.77,l,32.202,-115.197,20,B,11384370,46,2175
10/28/2013,32:06.4,le,3.01,l,32.215,-115.242,13.7,A,11384530,31,276
11/2/2013,23:10.8,le,3.19,l,34.708,-116.292,1.5,A,11386842,124,2378
11/7/2013,19:09.8,le,3.53,l,32.279,-115.306,14.9,A,11388610,49,2189
11/11/2013,29:20.6,le,3.09,l,34.018,-117.234,17,A,11390322,179,2403
11/19/2013,10:52.8,le,3.14,l,32.705,-118.271,21.1,A,11392898,104,2368
11/20/2013,31:24.0,le,3.03,l,32.161,-115.159,18.4,B,11393506,42,1944
11/30/2013,36:35.8,le,3.19,l,33.001,-116.457,9.6,A,11397026,154,2284
11/30/2013,10:13.2,le,3.16,l,33.002,-116.457,8.4,A,11397090,175,2247
12/5/2013,15:04.5,le,3.19,l,36.138,-118.064,1.7,A,15441265,72,2247
12/21/2013,35:10.7,le,3.28,l,31.535,-115.526,15.3,C,15446169,25,1926
12/22/2013,57:29.0,le,3.36,l,32.246,-115.319,12.8,B,15446921,51,2042
12/23/2013,39:26.3,le,4.3,w,36.141,-118.065,2.1,A,15447161,54,2438
12/23/2013,01:30.9,le,3.4,l,36.14,-118.069,1.3,A,15447217,58,2315
12/23/2013,03:50.1,le,3.11,l,36.142,-118.067,1.1,A,15447473,60,2252
12/23/2013,36:32.1,le,3.02,l,36.138,-118.057,1,A,15447513,63,2186
12/23/2013,56:01.7,le,3.31,l,36.144,-118.069,0.4,A,15447537,71,2279
12/25/2013,00:52.4,le,3.27,l,36.228,-118.33,4.8,A,11405530,67,2270
12/26/2013,18:19.6,le,4.09,l,32.401,-116.265,15,C,11405954,87,2429
12/28/2013,05:57.3,le,3.05,l,32.163,-115.214,12.3,B,11406722,13,1874
12/30/2013,32:35.1,le,3.3,l,33.388,-116.332,10.9,A,11407610,109,2283
12/30/2013,44:21.4,le,3.63,l,33.7,-116.733,19.6,A,11407682,148,2349
12/31/2013,21:08.6,le,3.08,l,33.502,-116.477,9.5,A,11407970,183,2250
12/31/2013,33:24.3,le,3.06,l,31.552,-115.499,10,C,11408186,9,107
1/1/2014,47:16.5,le,3.02,l,35.665,-118.469,10.6,A,11408690,99,2237
1/3/2014,47:59.9,le,3.01,l,33.982,-118.453,11.2,A,11409738,141,2330
1/15/2014,35:18.9,le,4.43,w,34.143,-117.442,3.6,A,11413954,270,2390
1/16/2014,40:06.1,le,3.63,l,33.829,-117.687,10.4,A,11414394,328,2339
1/16/2014,50:03.8,le,3.19,l,34.138,-117.438,3,A,11414410,203,2308
1/18/2014,37:37.2,le,3.15,l,36.394,-116.936,8.9,A,11415114,42,2124
1/27/2014,42:38.0,le,3.19,l,33.645,-116.739,16.4,A,11418122,155,2316
1/27/2014,35:33.8,le,3.39,l,35.312,-118.496,7.4,A,11418410,93,2335
2/1/2014,25:17.7,le,3.13,l,34.216,-119.568,13.1,A,11419778,97,2254
2/3/2014,59:18.0,le,3.07,l,34.063,-117.553,15.3,A,11420386,288,2325
2/3/2014,12:06.3,le,3.24,l,32.573,-115.701,13.2,A,11420466,98,2111
2/4/2014,31:19.3,le,3.59,l,35.026,-119.115,13.1,A,11420690,120,2361
2/4/2014,21:48.3,le,3.04,l,32.175,-115.174,18.8,B,11420746,26,220
2/7/2014,51:51.7,le,3.65,l,32.174,-115.784,11.6,C,11421970,95,2168
2/19/2014,00:02.8,le,3.69,l,31.577,-115.504,10,C,15468257,6,1742
2/19/2014,09:15.1,le,3.47,l,31.572,-115.52,10,C,15468265,7,1965
2/19/2014,12:50.0,le,3.43,l,31.573,-115.499,10,C,15468273,6,1947
2/20/2014,34:41.6,le,3.68,l,35.308,-118.49,3.5,A,37189912,79,2111
3/4/2014,42:55.6,le,3.29,l,35.962,-117.3,7.1,A,15472201,50,2195
3/4/2014,49:32.8,le,3.78,l,35.961,-117.298,6.6,A,15472217,51,2315
3/4/2014,51:03.1,le,3.01,l,35.963,-117.3,6.8,A,15472225,42,2297
3/5/2014,17:01.8,le,3.07,l,33.93,-116.347,6.6,A,15472609,150,2212
3/7/2014,58:31.5,le,3.13,l,35.95,-117.303,7.2,A,15473569,65,2199
3/8/2014,16:31.4,le,3.13,l,33.97,-118.428,9.8,A,15473729,103,2331
3/9/2014,59:48.5,le,3.13,l,36.105,-117.845,3.4,A,15474201,70,2159
3/13/2014,11:04.0,le,4.39,w,36.112,-118.055,0.2,A,15475329,109,2350
3/15/2014,12:19.9,le,3.92,l,34.614,-118.631,9,A,15476409,240,2376
3/16/2014,55:33.4,le,3.47,l,32.875,-116.235,4,A,15476793,151,2258
3/17/2014,25:36.9,le,4.39,w,34.134,-118.486,9.5,A,15476961,361,2647
3/26/2014,50:53.1,le,3.15,l,36.016,-117.539,3.2,A,15480609,57,2240
3/28/2014,15:29.8,le,3.44,l,33.18,-115.6,0.7,A,15481105,102,2247
3/29/2014,03:39.8,le,3.57,l,33.925,-117.934,7.5,A,15481633,247,2466
3/29/2014,09:42.3,le,5.1,w,33.932,-117.917,4.8,A,15481673,191,3003
3/29/2014,11:53.7,le,3.2,l,33.92,-117.932,2.2,A,15481681,78,2448
3/29/2014,30:52.0,le,3.64,l,33.916,-117.931,4.1,A,15481777,213,2481
3/29/2014,37:14.1,le,3.08,l,33.922,-117.9,4.3,A,15481969,100,2424
3/29/2014,02:06.0,le,3.42,l,33.904,-117.955,3.8,A,15482817,217,2445
3/29/2014,32:45.9,le,4.14,w,33.961,-117.892,9.4,A,15483001,306,2662
3/30/2014,51:22.8,le,3.3,l,33.903,-117.95,1.8,A,15483377,179,2457
3/30/2014,17:31.5,le,3.12,l,33.908,-117.948,1.8,A,15483393,154,2439
4/3/2014,08:01.8,le,3.06,l,34.045,-118.943,11.7,A,15485145,68,2399
4/8/2014,59:14.1,le,3.17,l,31.898,-116.213,5.8,B,15486985,35,2137
4/8/2014,06:19.3,le,3.01,l,35.669,-118.466,10.5,A,15487297,117,2130
4/8/2014,55:43.7,le,3.01,l,31.64,-116.405,13.5,A,15487337,43,1813
4/11/2014,53:15.2,le,3.17,l,33.201,-116.048,8.7,A,37210760,137,2190
4/14/2014,32:17.6,le,3.82,l,31.523,-115.47,11.3,C,37211912,15,559
4/18/2014,44:32.2,le,3.09,l,32.636,-115.718,9.7,A,37213512,95,2116
4/19/2014,15:13.0,le,4.24,l,35.466,-118.521,0.1,A,37214496,108,2308
4/20/2014,12:18.2,le,3.14,l,35.466,-118.522,3.6,A,37214944,68,2248
4/25/2014,26:08.8,le,3.3,l,33.986,-115.663,5.3,A,37217280,130,2207
5/6/2014,48:19.8,le,3.51,l,35.45,-118.349,5.2,A,37220384,103,2224
5/8/2014,39:24.9,le,3.32,l,33.957,-118.188,13.9,A,15499025,174,2426
5/9/2014,49:33.2,le,3.09,l,33.924,-116.727,19.2,A,15499489,215,2420
5/19/2014,08:51.6,le,3.84,l,34.253,-116.825,7.5,A,15503377,229,2437
5/23/2014,14:57.6,le,3.22,l,32.332,-115.184,11,C,15504753,15,2066
5/27/2014,30:51.7,le,3.03,l,34.991,-116.867,3.7,A,15506089,61,2341
5/31/2014,59:29.3,le,3.8,l,33.589,-118.37,8.6,A,15507209,221,2467
6/2/2014,36:43.9,le,4.16,w,34.096,-118.491,4.4,A,15507801,119,2509
6/5/2014,19:40.5,le,3.12,l,35.336,-118.56,9.4,A,15509041,105,2383
6/11/2014,38:05.7,le,3.99,l,35.002,-116.916,2.2,A,15510833,189,2560
6/13/2014,35:20.0,le,3.47,l,34.308,-117.498,12.8,A,15511521,121,2489
6/14/2014,41:13.8,le,3.19,l,32.974,-115.89,11,A,15511897,107,2337
6/15/2014,30:26.0,le,3.01,l,36.193,-118.141,2.9,A,15512169,69,2267
6/17/2014,57:47.1,le,3.3,l,35.017,-119.331,0,A,37233224,81,2328
6/18/2014,42:42.6,le,3.65,l,31.5,-115.498,13,C,37233312,34,2108
6/27/2014,17:23.9,le,3.78,l,35.399,-118.475,3.7,A,37236856,125,2350
6/28/2014,06:15.4,le,3.03,l,35.143,-118.167,7.3,A,37237048,130,2375
6/30/2014,30:55.5,le,3.1,l,36.184,-118.322,4.5,A,37237584,63,2342
7/1/2014,04:43.1,le,3.03,l,36.134,-117.965,5.1,A,37238128,64,2361
7/2/2014,32:17.7,le,3.1,l,36.135,-117.963,4.8,A,37238872,63,2412
7/3/2014,50:27.7,le,3.12,l,33.164,-115.646,1.8,A,15519497,79,2400
7/5/2014,59:34.1,le,4.58,w,34.28,-117.028,8.7,A,15520985,196,2737
7/5/2014,00:26.5,le,3.39,l,34.274,-117.018,9.5,A,15520993,100,2659
7/5/2014,05:46.1,le,3.01,l,36.133,-117.967,4.6,A,15521265,48,2397
7/6/2014,54:56.8,le,3.4,l,36.138,-117.966,4.7,A,15521601,59,2566
7/7/2014,51:05.5,le,3.03,l,34.276,-117.026,8.6,A,15522785,238,2596
7/8/2014,31:46.1,le,3.2,l,33.162,-115.647,1.9,A,15523545,96,2452
7/9/2014,04:47.7,le,3.63,l,36.434,-116.933,8.7,A,15524177,26,740
7/9/2014,48:04.8,le,3.19,l,33.251,-115.982,2.9,A,15524489,109,2466
7/10/2014,41:43.7,le,3.22,l,33.505,-116.507,15.4,A,15524873,181,2517
7/11/2014,25:02.3,le,3.36,l,36.627,-116.936,4.5,A,15525449,56,2395
7/15/2014,07:14.2,le,3.02,l,33.592,-115.913,10,A,15526857,108,2480
7/17/2014,24:34.3,le,3.37,l,33.428,-116.425,13.9,A,15527617,178,2585
7/17/2014,45:53.2,le,3.12,l,32.255,-115.322,20.5,B,15527633,52,2201
7/20/2014,18:21.8,le,3.09,l,32.894,-116.274,6.6,A,37248544,97,2338
7/20/2014,43:22.2,le,3.24,l,35.514,-116.242,2.5,A,37248768,37,2400
7/20/2014,48:38.6,le,3,l,35.511,-116.245,0.7,A,37248784,25,2363
7/21/2014,55:13.1,le,3.18,l,32.47,-117.715,10,C,37248888,12,2389
7/24/2014,20:14.6,le,3.52,l,32.904,-116.268,8.8,A,15530681,108,2611
7/28/2014,45:40.1,le,3.27,l,32.987,-117.745,10,C,15531937,49,2659
7/29/2014,38:26.2,le,3.16,l,32.127,-115.14,26.5,B,15532569,31,356
8/7/2014,45:53.8,le,3.25,l,33.483,-116.47,14.8,A,15535825,176,2727
8/9/2014,46:29.4,le,3.17,l,35.174,-118.664,11.9,A,15536505,111,2749
8/12/2014,58:50.2,le,3.16,l,35.99,-116.073,6.4,A,15537721,56,632
8/15/2014,57:18.8,le,3.8,l,34.302,-116.443,9.7,A,15538561,265,2811
8/15/2014,03:36.1,le,3.36,l,33.95,-118.722,12.6,A,37258408,168,2643
8/17/2014,59:10.0,le,3.17,l,32.226,-115.232,19.3,A,37259016,18,2237
8/17/2014,59:21.4,le,3.46,l,32.206,-115.26,12.5,B,37208589,19,2318
8/18/2014,55:56.8,le,3.67,l,34.33,-116.83,7.6,A,37259096,244,2622
8/20/2014,14:34.2,le,3.36,l,32.231,-115.238,20,C,37259944,48,2370
8/25/2014,50:40.6,le,3.25,l,33.697,-118.284,8.2,A,37261424,133,2647
9/3/2014,38:35.9,le,3.64,l,33.799,-116.964,13.6,A,37264024,295,2706
9/4/2014,07:04.3,le,3.43,l,32.55,-115.674,9.5,A,37264592,96,2527
9/7/2014,13:56.8,le,4.04,l,32.222,-117.604,32.3,C,37265488,51,2717
9/8/2014,18:56.7,le,3.64,l,34.518,-118.782,14.2,A,37265672,213,2670
9/9/2014,08:31.0,le,3.34,l,33.78,-116.118,6.1,A,37266216,208,2626
9/12/2014,20:04.5,le,3.3,l,35.407,-117.799,10.5,A,37267296,114,2668
